survived,age,siblings_spouses,parents_children,fare,sex_male,sex_female,alone_no,alone_yes,class_1,class_2,class_3
0,26.0,0,0,13.0,1,0,0,1,0,1,0
0,57.0,0,0,10.5,0,1,0,1,0,1,0
0,29.8811345124283,0,0,7.2292,1,0,0,1,0,0,1
0,41.0,0,0,7.125,1,0,0,1,0,0,1
1,60.0,0,0,76.2917,0,1,0,1,1,0,0
0,21.0,0,0,7.25,1,0,0,1,0,0,1
0,64.0,1,0,75.25,1,0,1,0,1,0,0
0,50.0,1,1,211.5,1,0,1,0,1,0,0
1,33.0,1,0,53.1,0,1,1,0,1,0,0
1,39.0,1,1,79.65,0,1,1,0,1,0,0
1,22.0,0,0,7.225,1,0,0,1,0,0,1
1,29.0,0,0,13.8583,1,0,0,1,0,1,0
0,32.5,0,0,9.5,1,0,0,1,0,0,1
1,50.0,0,0,10.5,0,1,0,1,0,1,0
0,28.0,0,0,22.525,1,0,0,1,0,0,1
1,29.8811345124283,0,0,79.2,0,1,0,1,1,0,0
1,22.0,1,2,41.5792,0,1,1,0,0,1,0
0,25.0,0,0,7.925,1,0,0,1,0,0,1
0,2.0,4,2,31.275,0,1,1,0,0,0,1
0,70.0,0,0,10.5,1,0,0,1,0,1,0
0,29.8811345124283,0,0,7.8958,1,0,0,1,0,0,1
0,29.8811345124283,0,0,7.775,1,0,0,1,0,0,1
0,26.0,1,2,20.575,1,0,1,0,0,0,1
1,11.0,1,2,120.0,1,0,1,0,1,0,0
1,62.0,0,0,10.5,1,0,0,1,0,1,0
1,22.0,1,0,13.9,0,1,1,0,0,0,1
0,27.0,1,0,26.0,1,0,1,0,0,1,0
0,19.0,0,0,10.1708,1,0,0,1,0,0,1
1,30.0,0,0,164.8667,0,1,0,1,1,0,0
1,29.8811345124283,0,0,7.75,0,1,0,1,0,0,1
1,30.0,0,0,12.7375,1,0,0,1,0,1,0
1,29.8811345124283,0,0,13.0,1,0,0,1,0,1,0
0,40.0,1,5,31.3875,1,0,1,0,0,0,1
1,18.0,1,0,53.1,0,1,1,0,1,0,0
1,47.0,1,0,61.175,0,1,1,0,1,0,0
1,29.8811345124283,0,0,31.6833,0,1,0,1,1,0,0
1,29.0,0,0,7.75,1,0,0,1,0,0,1
1,29.8811345124283,0,0,7.2292,1,0,0,1,0,0,1
0,58.0,0,0,29.7,1,0,0,1,1,0,0
0,29.8811345124283,8,2,69.55,1,0,1,0,0,0,1
0,31.0,0,0,7.775,1,0,0,1,0,0,1
0,29.8811345124283,0,0,7.55,1,0,0,1,0,0,1
1,29.8811345124283,0,0,30.5,1,0,0,1,1,0,0
0,24.0,0,0,8.05,1,0,0,1,0,0,1
0,9.0,1,1,15.2458,0,1,1,0,0,0,1
0,26.0,0,0,7.8958,1,0,0,1,0,0,1
0,30.5,0,0,8.05,1,0,0,1,0,0,1
